,region,quarter,grace_trend,vci_severe_pct,drought_resistance,flood_resistance,spei3_class_median,spei3_peak_abs,spei6_class_median,spei6_peak_abs,spei12_class_median,spei12_peak_abs,q_idx
93,Central Highlands,2023Q2,6.037652987180078,10.771768927555765,0.397316125,0.4665750384210526,-0.052083333333333336,0.375,0.0,0.20833333333333334,0.07291666666666667,0.3541666666666667,93
94,Central Highlands,2023Q3,5.2561012250390045,12.192000881179977,0.411268655,0.4652007910526315,0.15625,1.25,0.041666666666666664,0.2708333333333333,0.0,0.2708333333333333,94
95,Central Highlands,2023Q4,3.8556861863392626,12.625392279265094,0.30613555,0.44356012739130435,0.0,0.020833333333333332,0.0625,0.4166666666666667,0.0,0.020833333333333332,95
96,Central Highlands,2024Q1,2.2357558841156466,21.25333817774472,0.33217467666666667,,-0.7604166666666666,1.4583333333333333,0.0,0.25,-0.010416666666666666,0.08333333333333333,96
97,Central Highlands,2024Q2,1.73916605249793,33.81738752540447,0.28869094655737704,,-1.7083333333333333,2.6666666666666665,-1.7291666666666667,2.25,-0.25,0.5416666666666666,97
98,Central Highlands,2024Q3,1.708786890927189,25.45919277888223,0.31309151458333334,,0.125,0.6666666666666666,-0.041666666666666664,0.5208333333333334,-0.052083333333333336,0.3541666666666667,98
99,Central Highlands,2024Q4,3.3402835553213936,17.87083204907843,0.548006,0.43329035695652174,0.11458333333333333,0.2708333333333333,0.34375,0.7916666666666666,-0.08333333333333333,0.20833333333333334,99
100,Central Highlands,2025Q1,5.774509495857825,,,,0.041666666666666664,1.0625,0.0625,0.3125,-0.010416666666666666,0.08333333333333333,100
101,Central Highlands,2025Q2,7.156793061968657,,,,0.020833333333333332,0.75,0.10416666666666667,0.4583333333333333,0.14583333333333334,0.7708333333333334,101
102,Central Highlands,2025Q3,8.649807364051988,,,,0.46875,1.4583333333333333,0.20833333333333334,0.9166666666666666,0.21875,0.5416666666666666,102
103,Central Highlands,2025Q4,9.994009763740765,,,,1.1510416666666667,1.75,1.3958333333333333,1.7708333333333333,0.953125,1.6458333333333333,103
104,Mekong Delta,2000Q1,,30.949905346340678,,0.41505762826923076,0.041666666666666664,0.1875,0.041666666666666664,0.375,1.5625,2.2083333333333335,0
105,Mekong Delta,2000Q2,,25.09082381171605,,0.4090584401886792,0.7916666666666666,0.9166666666666666,0.3020833333333333,0.5,0.16666666666666666,0.4166666666666667,1
106,Mekong Delta,2000Q3,,43.848296507143765,,0.36936300008571427,-0.08333333333333333,1.5833333333333333,0.20833333333333334,0.3541666666666667,0.125,0.14583333333333334,2
107,Mekong Delta,2000Q4,,45.65755246751833,,,0.0,0.20833333333333334,0.0,0.0625,0.20833333333333334,0.3333333333333333,3
108,Mekong Delta,2001Q1,,36.62585690680104,,0.3302088831230769,0.7916666666666666,1.8541666666666667,0.041666666666666664,1.0208333333333333,0.25,1.4583333333333333,4
109,Mekong Delta,2001Q2,,27.45758017798438,,0.3480156823664122,0.14583333333333334,1.5625,0.625,1.0208333333333333,0.052083333333333336,0.4791666666666667,5
110,Mekong Delta,2001Q3,,42.15120775380203,0.28731355389473684,0.44277382526315784,-0.2916666666666667,0.7916666666666666,0.041666666666666664,0.20833333333333334,0.020833333333333332,0.14583333333333334,6
111,Mekong Delta,2001Q4,,54.005923554252746,0.22151838578125,0.279433,0.0,0.3541666666666667,-0.10416666666666667,0.3333333333333333,0.125,0.4375,7
112,Mekong Delta,2002Q1,,52.145195833928,0.26947507324324327,,-0.96875,1.9791666666666667,-0.16666666666666666,0.4166666666666667,-0.3125,0.7291666666666666,8
113,Mekong Delta,2002Q2,9.28340062658934,34.15737726441901,0.3007563256615385,,-1.4375,1.6458333333333333,-1.6666666666666667,2.0,-0.9166666666666666,1.2291666666666667,9
114,Mekong Delta,2002Q3,8.671089800312313,40.120145884947576,0.29458736426923077,,-2.1041666666666665,2.5,-2.1979166666666665,2.2916666666666665,-1.6875,1.8125,10
115,Mekong Delta,2002Q4,7.551392052003726,40.09439924750881,0.28574312984615385,,0.0,0.8541666666666666,-1.0416666666666667,2.5833333333333335,-2.125,2.5208333333333335,11
116,Mekong Delta,2003Q1,7.888264729081126,38.09312698569951,,,0.0,0.20833333333333334,0.0,0.0,-1.5,1.8541666666666667,12
117,Mekong Delta,2003Q2,7.445326803786724,28.84188570095315,,,0.0,0.7291666666666666,0.0,0.0,-0.125,1.2083333333333333,13
118,Mekong Delta,2003Q3,5.676267353607353,34.40615260445271,,0.3134801823076923,0.5625,1.3125,0.0625,0.16666666666666666,0.0,0.0,14
119,Mekong Delta,2003Q4,6.049766540011563,31.640470779045003,,0.3305039638028169,0.125,1.1458333333333333,0.22916666666666666,2.3333333333333335,0.0,0.14583333333333334,15
120,Mekong Delta,2004Q1,5.814108673905799,52.21267817205786,,0.41610366,-0.5,0.75,0.020833333333333332,0.020833333333333332,-0.3125,0.6875,16
121,Mekong Delta,2004Q2,6.131581703257852,40.11003078210749,0.24852316076923076,,0.0,0.041666666666666664,-0.08333333333333333,0.5416666666666666,0.0,0.0,17
122,Mekong Delta,2004Q3,5.073830117060564,31.325251930999077,0.27738076875,,0.0,0.3958333333333333,0.0,0.041666666666666664,0.0,0.0,18
123,Mekong Delta,2004Q4,3.2119254359474922,36.42730058758226,0.28268997676335883,,-2.1875,2.4166666666666665,-1.2083333333333333,2.25,-1.3541666666666667,1.5208333333333333,19
124,Mekong Delta,2005Q1,0.5503012976364938,45.58323967537705,0.2688116170076336,,-1.3645833333333333,1.9583333333333333,-2.6145833333333335,2.6875,-1.4166666666666667,1.7708333333333333,20
125,Mekong Delta,2005Q2,-1.7586514657484782,44.07890985639755,0.24766993283206107,,-0.19791666666666666,0.6041666666666666,-0.5,1.8541666666666667,-1.3125,1.8125,21
126,Mekong Delta,2005Q3,-1.6324948159501105,38.18824966776038,0.22940876663265306,,-0.375,0.9375,-0.59375,1.0,-1.8958333333333333,2.1041666666666665,22
127,Mekong Delta,2005Q4,-1.3453036045451507,41.681045449145344,0.22474778092307693,,0.0,0.8958333333333334,-0.0625,0.4375,-1.0104166666666667,1.375,23
128,Mekong Delta,2006Q1,-1.0866966451068767,30.862422111264912,,0.24095972,0.6145833333333334,0.8333333333333334,0.0,0.020833333333333332,-0.3125,0.6875,24
129,Mekong Delta,2006Q2,-0.9057199874050891,28.569364008788348,,0.2582910666666666,0.125,0.9375,0.16666666666666666,0.3125,0.0,0.08333333333333333,25
130,Mekong Delta,2006Q3,-1.0454978110744355,32.45333667199895,,0.3189206298174603,1.0208333333333333,2.0208333333333335,0.9166666666666666,1.8125,0.375,0.7916666666666666,26
131,Mekong Delta,2006Q4,-1.2455378023858206,32.89143202732867,,0.33519216575757577,-0.3020833333333333,0.8333333333333334,0.0,0.9375,0.20833333333333334,0.875,27
132,Mekong Delta,2007Q1,-1.1296784562822233,31.875668411229658,,,0.0,0.625,0.0,0.0625,-0.22916666666666666,0.7708333333333334,28
133,Mekong Delta,2007Q2,-1.2614821125015097,31.635395684335258,,0.32406938444444444,0.25,0.4791666666666667,0.020833333333333332,0.5208333333333334,0.0,0.041666666666666664,29
134,Mekong Delta,2007Q3,-1.0947514154902016,29.930640051231805,,0.3268134908870968,1.09375,1.9375,0.8958333333333334,1.2083333333333333,0.0,0.0,30
135,Mekong Delta,2007Q4,-0.7405779143923887,35.14872220171767,,0.315226262,0.0,0.041666666666666664,0.13541666666666666,1.5625,0.3229166666666667,0.375,31
136,Mekong Delta,2008Q1,-0.5214113147073199,24.570511182198317,,,0.0,0.0,0.0,0.0,-0.20833333333333334,0.8125,32
137,Mekong Delta,2008Q2,-1.1232962579645531,26.413400787915062,,0.3786000184375,0.4270833333333333,0.8125,0.020833333333333332,0.14583333333333334,0.041666666666666664,0.125,33
138,Mekong Delta,2008Q3,-1.0487623227157938,28.057106537314795,,0.3199710127777778,0.020833333333333332,1.1041666666666667,0.2708333333333333,0.8125,0.0,0.0,34
139,Mekong Delta,2008Q4,-1.0949186220841785,33.74402594002084,0.23889775,0.3217317402597403,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.3958333333333333,0.020833333333333332,0.4583333333333333,35
140,Mekong Delta,2009Q1,-1.0002854000865966,27.04871356666118,,0.4031435947169811,0.3958333333333333,0.6041666666666666,0.08333333333333333,0.25,0.3333333333333333,1.4375,36
141,Mekong Delta,2009Q2,-0.23088293891634362,18.083039173520504,,0.3921261058490566,0.7604166666666666,1.25,0.6458333333333334,0.7916666666666666,0.4375,0.7083333333333334,37
142,Mekong Delta,2009Q3,-1.0081972145714828,28.753024126181085,,0.39167345458333336,0.0,1.3958333333333333,0.10416666666666667,0.4375,0.1875,0.2916666666666667,38
143,Mekong Delta,2009Q4,-1.5964579421586527,32.24948590238414,0.27065971359375,,-0.3125,0.5833333333333334,-0.7291666666666666,1.2916666666666667,0.020833333333333332,0.2708333333333333,39
144,Mekong Delta,2010Q1,-2.9495925086021013,23.105627399831,0.3013341170689655,,0.0,0.20833333333333334,-0.3125,0.4166666666666667,-0.3125,0.6875,40
145,Mekong Delta,2010Q2,-4.927858485961467,28.99650126908512,0.2069438985,,-0.2708333333333333,0.5416666666666666,-0.20833333333333334,0.4791666666666667,-0.3854166666666667,0.9791666666666666,41
146,Mekong Delta,2010Q3,-4.591191907564712,23.274102921992657,0.32699090125,,0.23958333333333334,1.0208333333333333,-0.020833333333333332,0.08333333333333333,-0.0625,0.2916666666666667,42
147,Mekong Delta,2010Q4,-3.8946216618584257,24.957116465897286,0.46282136,0.39328047139534883,1.8125,2.4583333333333335,1.8958333333333333,2.4583333333333335,0.0,0.5833333333333334,43
148,Mekong Delta,2011Q1,-2.565222691467721,24.92386938298557,,0.38268167697674416,0.7916666666666666,1.1458333333333333,1.7083333333333333,1.875,0.20833333333333334,1.625,44
149,Mekong Delta,2011Q2,-0.18878792536233263,19.075644806387043,,0.3975939497560975,0.78125,0.9583333333333334,0.5104166666666666,1.0625,1.53125,1.625,45
150,Mekong Delta,2011Q3,0.13538109529352327,26.38894069842322,,0.3761981727868853,0.0,0.2916666666666667,0.3125,0.6458333333333334,1.5625,1.6041666666666667,46
151,Mekong Delta,2011Q4,0.44599894376349997,33.04738790287307,0.2704606264705882,0.1002646372,-0.1875,0.4375,-0.22916666666666666,0.4375,0.16666666666666666,0.7916666666666666,47
152,Mekong Delta,2012Q1,-0.028504588933723977,18.139642939888827,,,0.4375,1.6666666666666667,0.0,0.0,-0.08333333333333333,0.7708333333333334,48
153,Mekong Delta,2012Q2,-1.3279937736119423,14.122892742838609,,0.42627197347826085,0.6041666666666666,1.1666666666666667,0.5208333333333334,0.7291666666666666,0.020833333333333332,0.0625,49
154,Mekong Delta,2012Q3,-1.372375948789884,14.891112813534866,,0.43583550352941175,-0.09375,1.5416666666666667,0.1875,0.3541666666666667,0.020833333333333332,0.0625,50
155,Mekong Delta,2012Q4,-1.6068201629691123,13.768118708751459,0.3174493789473684,,0.0,0.08333333333333333,-0.125,0.3125,0.0625,0.125,51
156,Mekong Delta,2013Q1,-1.284383424301556,21.518938014828837,,,0.0,0.0,0.0,0.0,-0.3125,0.6875,52
157,Mekong Delta,2013Q2,-0.19579566506368604,19.46596240081032,,0.39600957611764703,0.3125,1.2708333333333333,0.0,0.5625,0.0,0.0,53
158,Mekong Delta,2013Q3,0.46511519232638115,17.860576513954683,,0.3889906893442623,0.6041666666666666,1.7708333333333333,0.84375,1.25,0.0,0.0,54
159,Mekong Delta,2013Q4,0.38758438950269763,25.104366741607983,0.24123881857142856,0.35759178375,-0.0625,0.9791666666666666,0.0,0.14583333333333334,0.0,0.0,55
160,Mekong Delta,2014Q1,0.1000224292839909,22.735946542661523,0.23115095923076925,,-0.041666666666666664,0.0625,-0.0625,0.16666666666666666,-0.3125,0.6875,56
161,Mekong Delta,2014Q2,-0.861161783559827,15.498537394143911,0.4318172,,-0.020833333333333332,0.020833333333333332,-0.020833333333333332,0.041666666666666664,-0.020833333333333332,0.020833333333333332,57
162,Mekong Delta,2014Q3,-1.9671238700258107,18.894376811099907,0.31833884,,-0.020833333333333332,0.7083333333333334,-0.041666666666666664,0.08333333333333333,-0.041666666666666664,0.0625,58
163,Mekong Delta,2014Q4,-2.31087317362596,18.63264630833473,0.34327098375000004,,-0.0625,0.3958333333333333,-0.0625,0.16666666666666666,-0.0625,0.0625,59
164,Mekong Delta,2015Q1,-2.0502673999991075,27.448565809699293,0.39894882454545455,,0.0,0.08333333333333333,0.0,0.0625,-0.375,0.75,60
165,Mekong Delta,2015Q2,-3.650871409496714,23.71138501183443,0.37382087026153843,,-1.1666666666666667,1.9166666666666667,-0.052083333333333336,1.5208333333333333,-0.08333333333333333,0.3333333333333333,61
166,Mekong Delta,2015Q3,-4.37849556359093,10.502187117331118,0.39938560770992365,,-1.46875,2.3958333333333335,-1.96875,2.1666666666666665,-0.875,1.0208333333333333,62
167,Mekong Delta,2015Q4,-4.449170388254815,13.074332369167312,0.3613222458914729,,0.0,0.14583333333333334,-0.46875,1.8958333333333333,-0.9895833333333334,1.1666666666666667,63
168,Mekong Delta,2016Q1,-5.590704777714537,26.078863789424734,0.33601352716666666,,-0.0625,1.125,-0.041666666666666664,0.0625,-1.3333333333333333,1.6875,64
169,Mekong Delta,2016Q2,-5.932715506782387,27.895939531169237,0.30670965411764706,,-0.6354166666666666,2.2291666666666665,-0.6770833333333334,0.875,-0.7083333333333334,1.5,65
170,Mekong Delta,2016Q3,-4.794875622316413,18.47237501434229,0.35384340672580644,,-0.125,0.5833333333333334,-0.7708333333333334,0.9375,-0.25,0.5833333333333334,66
171,Mekong Delta,2016Q4,-4.34248243309905,16.624975902036464,,0.4664852976984127,1.3541666666666667,1.7083333333333333,0.6458333333333334,1.0625,0.0,0.0,67
172,Mekong Delta,2017Q1,-4.784946659344913,19.246544497829873,,0.4132524966412214,1.8020833333333333,2.3125,1.9270833333333333,2.125,0.22916666666666666,1.1458333333333333,68
173,Mekong Delta,2017Q2,-4.674996482279242,15.554960810905055,,0.4227208864122137,0.5625,0.9166666666666666,1.4166666666666667,1.5833333333333333,1.3125,1.4583333333333333,69
174,Mekong Delta,2017Q3,,18.446917870256193,,0.430053008173913,0.16666666666666666,0.8125,0.9166666666666666,1.1041666666666667,1.8229166666666667,1.9375,70
175,Mekong Delta,2017Q4,,23.426092586020708,,0.38228906478723407,0.03125,0.3125,0.34375,0.7916666666666666,2.0520833333333335,2.3333333333333335,71
176,Mekong Delta,2018Q1,,22.885858387648142,,0.38729719138297874,0.84375,1.0416666666666667,0.5208333333333334,0.8541666666666666,1.3125,2.3333333333333335,72
177,Mekong Delta,2018Q2,,13.56252675832271,0.25445125,0.4461892460869565,0.0,0.0,0.03125,0.125,0.0625,0.1875,73
178,Mekong Delta,2018Q3,1.5557745434638135,19.566273722265645,0.2423459876923077,0.342568655,0.2708333333333333,1.0416666666666667,-0.010416666666666666,0.16666666666666666,0.0625,0.25,74
179,Mekong Delta,2018Q4,0.7260856861025914,18.334913741746114,0.245048821375,0.4596913759615384,0.0,0.14583333333333334,0.125,0.4791666666666667,0.16666666666666666,0.2916666666666667,75
180,Mekong Delta,2019Q1,-0.25142594821569586,21.890854824442883,,0.4734043215,0.0625,0.14583333333333334,0.0,0.20833333333333334,-0.28125,0.75,76
181,Mekong Delta,2019Q2,-0.7437054999283534,17.331676781408483,,,0.0,0.0,0.0,0.0,0.0,0.0,77
182,Mekong Delta,2019Q3,-1.6894017737555553,17.025572528945155,0.388710006,,0.0,0.4791666666666667,0.0,0.020833333333333332,0.0,0.0,78
183,Mekong Delta,2019Q4,-2.708012607302256,15.791608490588631,0.38621119376,,-1.53125,1.75,-0.8333333333333334,1.7291666666666667,-0.20833333333333334,0.75,79
184,Mekong Delta,2020Q1,-3.390128741026622,41.801717517101046,0.26818514854961834,,-1.1145833333333333,1.7083333333333333,-1.9583333333333333,2.2083333333333335,-1.2604166666666667,1.7083333333333333,80
185,Mekong Delta,2020Q2,-4.12824180326927,39.58048788088655,0.2300128118045977,,-0.020833333333333332,0.5833333333333334,-0.625,1.25,-1.0729166666666667,1.2916666666666667,81
186,Mekong Delta,2020Q3,-3.5865301576137583,28.796098242924973,0.31414314492307693,,0.15625,1.4583333333333333,-0.020833333333333332,0.125,-0.9583333333333334,1.1875,82
187,Mekong Delta,2020Q4,-2.8866144866679773,33.274929667673206,0.2881488266666667,0.29784155472727275,0.07291666666666667,0.4166666666666667,0.20833333333333334,0.5208333333333334,-0.041666666666666664,0.10416666666666667,83
188,Mekong Delta,2021Q1,-2.524375398111429,26.12559502746447,,0.4674728675,0.0,0.0,0.020833333333333332,0.041666666666666664,-0.3125,0.6875,84
189,Mekong Delta,2021Q2,-2.642977854811865,18.66782531332217,,,0.0,0.020833333333333332,0.0,0.0,0.0,0.0625,85
190,Mekong Delta,2021Q3,-2.1387741806258185,15.412203170809022,,,-0.10416666666666667,0.9791666666666666,0.0,0.020833333333333332,0.0,0.0,86
191,Mekong Delta,2021Q4,-1.3081438644338634,15.938119556824876,,0.4542140588495575,0.6458333333333334,1.7708333333333333,0.8229166666666666,1.0208333333333333,0.3541666666666667,0.6458333333333334,87
192,Mekong Delta,2022Q1,0.23654107714651978,23.17951524967669,,0.3985739718548387,0.07291666666666667,0.625,0.6041666666666666,0.8333333333333334,0.125,1.2083333333333333,88
193,Mekong Delta,2022Q2,1.8211670720138315,17.884380160230396,,0.4254498881395349,1.1354166666666667,1.5,0.6770833333333334,0.9791666666666666,0.7291666666666666,1.0833333333333333,89
194,Mekong Delta,2022Q3,2.2276319117882397,19.29847892358455,,0.41701338519379844,0.3020833333333333,1.4375,1.5625,1.8125,1.2291666666666667,1.4375,90
195,Mekong Delta,2022Q4,1.9158136698167794,18.02693217832128,,0.43410639934210526,0.0,0.7708333333333334,0.375,1.0,1.375,1.7291666666666667,91
196,Mekong Delta,2023Q1,1.2207880547509349,22.031965105947577,,0.400784832247191,0.3541666666666667,0.9375,0.46875,0.7708333333333334,2.2916666666666665,2.4583333333333335,92
197,Mekong Delta,2023Q2,0.9216399018003857,16.157333269264104,,0.4086698516666667,-0.020833333333333332,0.0625,0.0,0.10416666666666667,0.041666666666666664,0.2916666666666667,93
198,Mekong Delta,2023Q3,0.5387242734541905,15.684422243656293,0.2030712888888889,,0.0,0.6666666666666666,-0.020833333333333332,0.125,0.0,0.0,94
199,Mekong Delta,2023Q4,-0.3517088343470786,17.517200728812334,0.16226958444444445,0.2254725,0.0,0.22916666666666666,0.0,0.14583333333333334,0.0,0.0,95
200,Mekong Delta,2024Q1,-1.0549173648375483,24.61581654740435,0.2799324216666667,,-0.4583333333333333,1.1458333333333333,0.0,0.08333333333333333,-0.3854166666666667,0.7708333333333334,96
201,Mekong Delta,2024Q2,-1.9022925192243776,23.691199593091827,0.31268219911764705,,-0.5416666666666666,1.9375,-0.6875,0.9791666666666666,-0.10416666666666667,0.25,97
202,Mekong Delta,2024Q3,-2.569119045860332,17.13392090957072,0.26015856400000004,0.43417361285714284,0.8333333333333334,1.7083333333333333,-0.020833333333333332,0.10416666666666667,-0.041666666666666664,0.10416666666666667,98
203,Mekong Delta,2024Q4,-1.483957221705411,16.879604386327795,,0.44682000019999996,0.375,0.8333333333333334,0.9479166666666666,1.8333333333333333,0.0,0.020833333333333332,99
204,Mekong Delta,2025Q1,-0.7231694807182844,,,,0.10416666666666667,0.7916666666666666,0.4479166666666667,0.6875,-0.3125,0.6875,100
205,Mekong Delta,2025Q2,0.06086536045916061,,,,0.11458333333333333,0.4375,0.010416666666666666,0.2916666666666667,0.625,0.8333333333333334,101
206,Mekong Delta,2025Q3,0.44646267954871177,,,,-0.96875,1.7291666666666667,0.0,0.0,0.0,0.0625,102
207,Mekong Delta,2025Q4,0.9685008711406743,,,,0.08333333333333333,0.375,-0.07291666666666667,0.125,0.109375,0.22916666666666666,103
