pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
women_rep,shop_butcher,drive,300s,3557.1247799999996,14095.953487000002,14470.725815,23534.239712000002,136.249378,35284.482892,15079.499629000002,2794.299235,,499.22964,18520.639053
elderly,shop_butcher,drive,300s,507.15200000000004,1658.365312,1526.6634569999999,2613.0477120000005,16.02111,6200.152418,2194.0597770000004,294.79893300000003,,52.668791999999996,2081.8575330000003
total,shop_butcher,drive,600s,31480.986177,154548.71740599995,189892.41732700003,139255.479015,23001.57746,284250.0304139999,145471.29687,45135.70697100001,27187.642788000005,21710.776432000002,157707.602005
men,shop_butcher,drive,600s,15406.874898000004,72824.66816399999,91865.06228299999,65448.878385,10863.775201999999,132986.94797900002,67819.144745,21851.173004999997,12738.587856,10509.718095999999,73931.817715
women,shop_butcher,drive,600s,16074.111278999999,81724.04924200001,98027.355044,73806.60063,12137.802258,151263.082435,77652.15212500001,23284.533966000003,14449.054932000003,11201.058335999998,83775.78429000001
youth,shop_butcher,drive,600s,8678.242728,43865.821758,53114.192801,40895.359371000006,6549.460181999999,82714.53403,40530.72420599999,12609.624804,7980.446331,6078.786755999999,45559.893441
children_u5,shop_butcher,drive,600s,2538.521256,12549.528056,17422.106439,10954.485770999998,1804.968634,16020.06412,10953.111445999999,4175.394414,1513.4780680000001,1972.2870679999996,12243.374400999997
women_rep,shop_butcher,drive,600s,10241.785619999999,54272.805720000004,62748.526909,50436.53642100001,8048.587224000001,102615.00071499999,51690.49238599999,14892.17553,9739.571329,7178.934211999998,56776.126991000005
elderly,shop_butcher,drive,600s,1460.2080000000003,6377.410264000001,6771.387551000002,5600.056671,1013.503046,17986.217885999995,7560.323575999999,1584.514893,1719.022736,796.65124,6925.146301
total,shop_butcher,drive,900s,65102.71942799999,234610.754185,339019.50007899996,158665.663358,144427.01730799998,330772.40487499995,206589.31164900004,87994.552383,122063.78484600002,36618.64889,250941.665853
men,shop_butcher,drive,900s,31861.436872000002,110537.29542100002,163766.024198,74571.836129,68507.680506,154751.531116,96325.79516299999,42620.739378,57217.909396999996,17722.494153,117526.705971
women,shop_butcher,drive,900s,33241.282556000006,124073.45876400001,175253.47588100005,84093.827229,75919.336802,176020.873759,110263.51648600001,45373.813056000006,64845.875449,18896.154738,133414.959882
youth,shop_butcher,drive,900s,17946.616992,66596.893749,95116.19862500002,46592.441148000005,41918.923466,96252.735439,57649.86778199999,24731.997084000002,35982.491365,10315.894122,72046.66983299999
children_u5,shop_butcher,drive,900s,5249.6651839999995,19040.181347,30410.493839999996,12482.154772999998,9538.430423,18628.870387,15418.247039,7987.82436,6611.56675,3161.658448,19384.972424999996
women_rep,shop_butcher,drive,900s,21180.025680000006,82412.37462100002,112459.871986,57463.21004300001,50179.88422,119410.5297,73419.559352,29047.681925999994,43741.784615000004,12178.763266,90137.43258299997
elderly,shop_butcher,drive,900s,3019.712000000001,9685.542103000002,12638.143958,6380.978289,8064.19816,20942.416323999994,10822.980554,3202.655415,7818.975419999999,1500.4717560000001,11365.036725000002
total,amenity_restaurant,drive,300s,36437.692286000005,184260.678108,118243.249095,124969.427676,248084.693263,320971.87983,109733.853202,316914.848617,293506.21483400004,206906.022302,146487.387609
men,amenity_restaurant,drive,300s,17829.955506,86842.27076300002,57018.493594,58734.69930800001,117991.148291,150165.99441900002,51177.545659999996,154628.76412600002,137639.373559,99909.115589,68581.76560299999
women,amenity_restaurant,drive,300s,18607.736780000003,97418.40734500001,61224.755522,66234.728368,130093.544982,170805.885411,58556.307541999995,162286.08766900003,155866.84128199998,106996.906737,77905.62200600002
youth,amenity_restaurant,drive,300s,10046.590074,52290.72847799998,33590.424122,36698.63372400001,72454.850007,93400.450612,30689.280389999993,98010.34022799999,86594.515136,59730.689630999994,41959.569717
