,index,pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
1391,1391,women_rep,amenity_pub,multimodal,300,0.25671696578595005,0.6486326706424325,,1.3707141706929735,,1.7316970623906376,0.8560939354254726,,0.7386907000386262,,0.5322011267092371
1398,1398,women_rep,amenity_pub,multimodal,600,0.6564619553669295,4.136073231326528,,7.173778672028392,,11.918670629596914,4.784394248686232,,9.787651775511799,,3.8498718985325384
1405,1405,women_rep,amenity_pub,multimodal,900,1.3422629925379677,12.316855175301425,,16.811074608129868,0.4072247191106374,31.484490503018016,11.240413922261451,0.06465331706986605,23.748160584876732,,9.473016855858335
1412,1412,women_rep,amenity_drinking_water,multimodal,300,,0.3851854249335333,,0.05055912924687197,,,,,,,
1419,1419,women_rep,amenity_drinking_water,multimodal,600,,3.177688763664268,,0.38200230986525496,,,,,,,
1426,1426,women_rep,amenity_drinking_water,multimodal,900,,6.484667644912433,0.1792284491345026,1.5167738774061594,,,,,,,
1433,1433,women_rep,amenity_bar,multimodal,300,0.7701508973578501,1.8729921587939,0.6395097480699657,10.802800615748314,3.2792453714129888,12.49230299746338,4.3253285715961844,3.4982820103491132,6.35739481517446,1.322673075879114,1.4708062218799718
1440,1440,women_rep,amenity_bar,multimodal,600,4.569561990989911,9.341524613301372,4.624336009789513,29.75685640229787,17.270559387514066,54.95481649052597,20.992847645872807,15.740371913640203,40.37677400736543,11.379738703497146,6.631918308481271
1447,1447,women_rep,amenity_bar,multimodal,900,11.053499069697907,24.528118896891176,8.297431404936221,42.91379363562932,30.02990233233364,85.28309548651134,38.94086040803149,33.96304370978908,73.69480991131599,26.747146613087423,13.469814049483878
1454,1454,women_rep,shop_bakery,multimodal,300,1.360599918665535,10.902771824928788,4.967288769862253,6.342361879968718,8.791404900610015,10.29120435934219,5.412634872964158,13.225042205548915,9.12275211053322,5.581732933353476,1.5117633529641152
1461,1461,women_rep,shop_bakery,multimodal,600,6.9433905651410885,37.20354073096513,23.630772721769624,27.681287396207345,44.53774973418402,58.04354255535975,22.712218027531357,53.43261329524087,43.84226028348272,26.38125514052193,10.29723259262506
1468,1468,women_rep,shop_bakery,multimodal,900,17.290972761062104,58.888893532683916,41.86698003034498,47.64090808666692,83.77485006185152,93.42859539379464,40.79475651644518,74.88289368098347,72.25982019291618,51.9185821181644,23.380720402971324
1475,1475,women_rep,shop_greengrocer,multimodal,300,,0.47438626018129887,,2.7133399362487958,0.12196854481798929,2.533250388889281,1.7916833042172602,,0.6771331417020741,,0.5276970587992478
1482,1482,women_rep,shop_greengrocer,multimodal,600,,2.9274092294948533,,15.600300213173718,2.254832991922246,10.536884420168517,9.987798292313297,,5.622256994738433,,2.991685076169834
1489,1489,women_rep,shop_greengrocer,multimodal,900,,8.07673017334314,,31.666867951624152,7.088432005921535,25.887730305412088,20.433638949173584,1.3061170967154998,18.05314951017333,,8.749148593943902
1496,1496,women_rep,amenity_marketplace,multimodal,300,,,,1.3145373604186716,,,0.15350649876594682,1.508290565186163,0.6771331417020741,1.0527539034144227,
1503,1503,women_rep,amenity_marketplace,multimodal,600,,,,9.606234556905676,1.158609922212223,0.039229061388210223,2.725847681459552,7.069543492585602,5.971083158645563,7.851806514971058,0.04681223992495498
1510,1510,women_rep,amenity_marketplace,multimodal,900,,,,19.74614881141722,5.243552949738753,0.689862956867865,7.459102935603521,14.157230439020177,15.119860011774966,18.810553425968106,0.4798254592307885
1517,1517,women_rep,amenity_food_court,multimodal,300,,0.4906045938627109,,,,,,,,,
1524,1524,women_rep,amenity_food_court,multimodal,600,,2.4976233869374367,,,,,,,,,
1531,1531,women_rep,amenity_food_court,multimodal,900,,4.407332177923692,,,,,,,,,
1538,1538,women_rep,shop_coffee,multimodal,300,,,,1.224654463979788,,0.9468271708035143,,,0.984920933384835,,0.2720961445638009
1545,1545,women_rep,shop_coffee,multimodal,600,,,,7.926547929704039,,7.184060046925662,,,8.884807586575699,,1.2551531829878553
1552,1552,women_rep,shop_coffee,multimodal,900,,,,19.74053113038979,,16.10214669787199,0.04059376417186804,,18.63142098986313,,3.0395960430904068
1559,1559,women_rep,shop_pastry,multimodal,300,,0.5757508456901235,0.7271791886027097,0.6572686802093356,0.5495256397974393,,0.07675324938297341,,,0.8404944030548115,1.0130501570816077
1566,1566,women_rep,shop_pastry,multimodal,600,,3.531542159127447,1.9791268638259318,3.173989780498074,4.3773718722868065,0.06276649822113635,1.05683320304248,,0.4924604666924175,5.198275166719433,5.097960301328004
1573,1573,women_rep,shop_pastry,multimodal,900,,7.160394320343366,3.8870351473247937,7.308603016686717,11.135758984061642,0.4459998857202959,3.8978182068336626,0.23408799266770494,3.1423519224512115,10.414821950896577,12.605501920087498
1580,1580,women_rep,amenity_vending_machine,multimodal,300,0.1173563272164343,,,,,,,,,,
1587,1587,women_rep,amenity_vending_machine,multimodal,600,1.070876485849963,,,,,,,,,,
1594,1594,women_rep,amenity_vending_machine,multimodal,900,2.2591092989163606,,,,,,,,,,
1601,1601,women_rep,mixed_offers,multimodal,300,2.0243966444834918,8.320479969563763,4.190515974298754,25.375065200902302,17.015412538566682,35.229885416043004,9.96042357364706,10.392267981277216,26.112994136117408,5.533486544399222,7.104303198256185
1608,1608,women_rep,mixed_offers,multimodal,600,7.161084819437198,33.60065138354078,16.37892778075618,51.163522357955536,61.38264996241656,87.58013669794481,28.86454483765128,43.33011072104336,78.14078037482334,29.691798092554105,27.345928280773673
1615,1615,women_rep,mixed_offers,multimodal,900,15.9981646869341,56.93261632049389,27.934179432940155,64.320459591287,85.84349878562215,99.81911772392046,38.407666900786985,68.84211503421464,96.0155467676964,53.986215746413905,46.28193386437898
1622,1622,women_rep,unhealthy_offers,multimodal,300,3.388496366699227,14.123554530430981,8.600293252512143,23.195404962259374,15.754703590106578,33.74938591366118,11.658686272149106,19.770420133183624,25.22058477549191,11.938035710657411,5.709801285938505
1629,1629,women_rep,unhealthy_offers,multimodal,600,15.160054363363408,46.35144434323707,31.897384883873205,50.73876668376664,64.35708664755273,93.15114799293951,36.67026095911646,59.37458574604646,79.7063480755968,51.80963576214381,24.10048006491866
1636,1636,women_rep,unhealthy_offers,multimodal,900,31.625389407329575,67.64021969421371,51.67346337868185,66.39385717573873,92.12134378798723,99.34570413851868,57.401144075019715,77.84371570130097,97.59095503157009,80.93264576268777,45.780756585169264
1643,1643,women_rep,shop_kiosk,multimodal,300,0.4107471452575201,0.8316571787894631,,,0.5018615980434403,0.6720290899103181,0.6629388766872771,,1.703092447311277,,
1650,1650,women_rep,shop_kiosk,multimodal,600,3.5610310539736787,4.721274409371308,,0.06212275839161367,3.434784025255175,4.730864864424096,3.762102528488038,,14.509981028601182,,
1657,1657,women_rep,shop_kiosk,multimodal,900,8.401979551651594,10.271358196071677,,0.3040113096609944,12.244279411826737,12.341744785845297,8.012125856888785,,30.552524531361858,0.4894946709740241,
1664,1664,women_rep,shop_alcohol,multimodal,300,,0.6379487137024674,0.1623806653226364,2.8537819619345512,0.08435866285666592,0.032072782941519766,1.104805845971131,0.22323360446120183,1.005440119497019,1.0234818207894958,0.198415182158922
1671,1671,women_rep,shop_alcohol,multimodal,600,0.007334770451027144,3.358636245475969,1.4589186612144287,12.645399992745423,0.47370633757973946,1.7486001010512224,3.4214311419058703,1.189110192302107,6.748503060152585,2.8043723125713185,2.255664603578385
1678,1678,women_rep,shop_alcohol,multimodal,900,0.4767600793167644,6.440974150470867,1.9986805331669557,22.78828722131563,2.4583406231713076,5.120501763421958,9.474994232656323,6.164482717314998,23.246285188223144,4.8116372679854855,6.439887914984912
1685,1685,women_rep,shop_convenience,multimodal,300,0.608785947435253,0.1338012528716484,,3.6121689006376316,1.7344043428377662,0.12458252247414663,2.477880610496264,1.8564980186990174,0.7797290722629945,0.8792402844285186,0.41198886911614463
1692,1692,women_rep,shop_convenience,multimodal,600,2.512158879476797,2.043510043857903,,13.87567213775264,14.050069356746645,2.5380819242777384,10.018762763299907,7.320490896286894,5.724852925299353,6.006573392329131,3.3003935477379924
1699,1699,women_rep,shop_convenience,multimodal,900,5.713786181350145,5.599379703507468,,22.936991634997586,38.28592779176213,9.794359225591812,18.979233962602496,14.74589773472028,19.726400106888654,14.986614656174737,10.998847144325516
1706,1706,women_rep,shop_confectionery,multimodal,300,,0.1540741699734133,,0.46626752527670823,0.4897787905758187,0.8969941618138555,,,,0.018271617457713295,0.13751095477955527
1713,1713,women_rep,shop_confectionery,multimodal,600,,1.086628356654599,,2.5167211002887386,4.546296438457473,3.762392178719228,,0.0415933367842778,,0.5263435782760253,0.8279914936726411
1720,1720,women_rep,shop_confectionery,multimodal,900,,2.4651867195746133,,4.763793511260827,12.700857649420946,5.930128069769379,,0.42855027795023354,,2.3573808977730013,1.9514852518715609
1727,1727,women_rep,shop_health_food,multimodal,300,,,,,,,0.36692116797391344,,0.8002482583751784,,
1734,1734,women_rep,shop_health_food,multimodal,600,,,,,,,1.9752627093539536,,4.999575652167711,,
1741,1741,women_rep,shop_health_food,multimodal,900,,,,,,,3.6564530933776873,,11.25464190718718,,
1748,1748,women_rep,shop_spices,multimodal,300,,,,,,,0.2893007092127459,,,,
1755,1755,women_rep,shop_spices,multimodal,600,,,,,,,2.456103980255149,,0.04228208107099657,,
1762,1762,women_rep,shop_spices,multimodal,900,,,,,,0.0830196292144913,5.79359839313373,,2.01967532438908,,
1769,1769,women_rep,shop_supermarket,multimodal,300,0.4877622349933051,3.606526783250467,2.32804929525413,9.353438910671317,7.516383364079022,11.29006313251452,3.6128574735866996,6.4021677803535555,10.468020842249686,1.5965294518626099,4.378123689104885
1776,1776,women_rep,shop_supermarket,multimodal,600,2.6588542884973396,15.800335192785326,11.460941174560848,42.18878451600095,38.86384274065844,48.28818365420918,18.894504745944875,32.214315611952024,48.89506354468937,12.674665233711616,18.90112008679525
1783,1783,women_rep,shop_supermarket,multimodal,900,6.021846540293286,33.505033650942615,20.136044445017813,61.6989907242661,75.7275803577339,84.03834888607817,32.43850379899534,57.567851580136974,88.24082928128463,30.00770878301561,36.63676571316585
1790,1790,women_rep,amenity_cafe,multimodal,300,1.3677671074412487,5.224480611073461,4.386033602552985,16.763160185851774,6.940619544738135,25.087576490333586,4.402842639434593,9.406250971837663,15.985643557499312,7.051071473608177,3.4147578541906585
1797,1797,women_rep,amenity_cafe,multimodal,600,7.237471943010193,27.15000991951876,18.672507048524686,41.75279347975718,43.46515515751511,83.34850302736744,22.878858665137514,42.89451595946241,52.06047312681529,35.99386864867125,16.98604853074573
1804,1804,women_rep,amenity_cafe,multimodal,900,18.097153887644396,47.535227773393615,38.468331786589445,58.38503220341226,77.35109532194433,98.9480556964651,44.77818659957378,68.57693225438398,77.36594591210799,66.8283949174126,33.25735503745335
1811,1811,women_rep,shop_seafood,multimodal,300,0.2750538919135179,,,,1.250644559539,,,0.12991231058581076,,,
1818,1818,women_rep,shop_seafood,multimodal,600,1.2838619748740077,,,,7.086985837387667,,,2.706601065223284,,,
1825,1825,women_rep,shop_seafood,multimodal,900,2.804769806547684,,,0.03932376719201154,17.300583073622832,,,8.417448001618123,,,
6,6,elderly,amenity_fast_food,drive,300,8.180868026611229,14.580806790092835,4.7969582774896695,50.017729755965576,24.8913498556963,72.80834330719516,9.892283952142524,22.27022057242661,58.608299112231876,6.262325125677393,8.732874812245363
13,13,elderly,amenity_fast_food,drive,600,31.761353957849142,52.35014052069757,33.933278514316875,63.440793660417384,91.60081251091637,99.99999999999997,37.146424133135305,63.22222080046739,98.35177870727566,45.58840478046956,30.140347672631496
20,20,elderly,amenity_fast_food,drive,900,53.58433255571799,79.27166368994632,59.77320713426617,67.83599768105567,100.0,99.99999999999997,63.51333560362614,85.21546216174507,100.00000000000003,81.000093306834,47.296845555834096
27,27,elderly,amenity_ice_cream,drive,300,,1.7472532319540608,,17.428464918894974,4.67123962484555,22.860074711214594,4.819241584222854,,14.338673966019622,,7.321735106378801
34,34,elderly,amenity_ice_cream,drive,600,,8.417542175287425,,31.932540072010784,30.509415741832864,92.09449256768582,22.15104858412843,,41.260821181728716,1.1896602936461307,22.282663196061044
41,41,elderly,amenity_ice_cream,drive,900,,20.027291640199532,1.075367784046824,46.809579134781735,76.68909910008604,99.99999999999997,35.077297187393064,,70.91887064389472,11.647073751799729,39.838578567206916
48,48,elderly,shop_deli,drive,300,,,,,1.0732120237563658,,,,18.961158733968013,,
55,55,elderly,shop_deli,drive,600,,,,,17.122487924585332,4.764364610861798,,10.308862662814647,62.05828670116298,1.8837703562459933,
62,62,elderly,shop_deli,drive,900,,,,,45.63123108642727,30.29014453661857,5.150740605549859,42.730171156153645,99.88627757507203,21.459223997073153,
69,69,elderly,shop_beverages,drive,300,,6.381843125388256,2.063855969844539,15.74455526489546,0.19447977939819378,2.496642325846641,11.171962643292254,10.845151648515726,30.934121902124556,,2.3978125916672157
76,76,elderly,shop_beverages,drive,600,,22.41805524731212,8.547372859427766,44.83128802164708,20.753513967212374,19.582143614919385,34.163942171642525,59.054660629385516,83.36706083975908,3.616525832998576,13.079730921148444
83,83,elderly,shop_beverages,drive,900,,37.77575636389325,31.36958121461168,62.99506015612183,69.80641716746602,55.54990947089532,56.19311018200591,93.15739618457185,100.00000000000003,36.76453016212904,24.761686792972935
90,90,elderly,shop_butcher,drive,300,4.00613295389161,9.634515281022997,7.062177555551638,28.19987367231187,0.08584864426836149,29.605716561439138,12.901359501155603,0.9676887362567922,,0.20975643020428328,10.195875632147272
97,97,elderly,shop_butcher,drive,600,11.534584085907504,37.05049556768643,31.323695450590705,60.43551748204257,5.430826107613942,85.88415781510275,44.455695064245404,5.201230543080819,8.507079769020185,3.172708427036179,33.91583203951195
104,104,elderly,shop_butcher,drive,900,23.85353455071053,56.269570233476486,58.46266653909837,68.86318256999537,43.21176742107228,99.99999999999997,63.64054638114366,10.51283849527136,38.694454830030885,5.975713267942662,55.66014924945699
111,111,elderly,amenity_restaurant,drive,300,13.344236490477336,44.33259548271875,23.894374750270707,54.23712537619711,79.14784739475859,97.05653199963575,34.00016777943194,61.1762393022597,93.20379272951375,47.94121045167971,32.8616024033647
