Name,ma_xa,Water,Urban/Built-up,Rice,Other Crops,Grass/Shrub,Woody Crops/Orchards,Barren,Evergreen Forest,Deciduous Forest,Plantation Forest,Mangrove Forest,Aquaculture
Thuận An,562,9.291556837389619,23.14688951667238,12.73477854871691,51.13976194134822,0.05171333672178,3.48104632332951,0.0325055259394,0.0,0.0,0.09101547263033999,0.02068533468871,0.01004716256309
Thư Lâm,475,5.2181526090763,27.47605123802561,48.757724378862186,16.93285846642923,0.004250002125001063,1.27627563813781,0.11666255833127,0.0006375003187501595,0.0,0.18785009392504,0.013387506693749999,0.016150008075
Thường Tín,10183,6.25275900293312,28.157689075492858,47.03629948629409,16.6190891938643,0.0032699294022242057,1.48585592037067,0.20404359469879002,0.0003269929402224206,0.0,0.10365676205049999,0.04512502575069,0.0918850162025
Thượng Cát,598,22.39683172325659,22.72833671797402,5.93482510580956,44.52289219128597,0.006326431196897519,3.19231718195448,0.91480195107138,0.0,0.0,0.27077125522721,0.009489646795346276,0.02340779542852
Thượng Phúc,10231,5.93265031803301,15.89907837954298,53.209593084952445,23.19197103294809,0.0022509920443509746,1.54900409680552,0.062063066365669994,0.0003215702920501392,0.002894132628451253,0.06913761279077,0.04887868439162,0.03215702920501
Thạch Thất,9955,7.22057800709486,19.036810048046,56.352345116390055,13.597222585986628,0.03201126796632,2.59000259000259,0.18246422740804,0.003201126796632415,0.00029101152696658315,0.97052344243355,0.008148322755064328,0.00640225359326483
Tiến Thắng,8995,4.63163951818618,16.01730378468913,54.37385525548514,23.3357052396867,0.00025688516462485774,0.93917216186848,0.09016669278332,0.011816717572739999,0.0,0.56643178799781,0.007449669774120875,0.02620228679173
Trung Giã,385,5.119661033922831,14.26990913057681,22.594678499641148,24.89478842040759,0.12875751383547002,9.33480053315148,0.8804391108101399,1.3202413964944502,0.0,21.43502633568037,0.006199435851337528,0.015498589628339998
Trần Phú,10081,14.085723690693591,13.39340938586982,35.24198502571543,21.577059278626102,0.69294330025516,10.217611452748809,0.73382800329593,0.66421917555472,0.00041933028759767775,3.3003390285375205,0.024321156680659997,0.06814117173461999
Tây Hồ,103,51.89590947427608,45.49216333989316,0.18625245993814998,1.2738965420297998,0.02020663480461,0.73007450098397,0.02547793084059,0.03514197357323,0.0,0.20206634804610002,0.0008785493393308968,0.13793224627495002
Tây Mỗ,634,3.38638168343038,68.72849391212281,3.5418872419269403,21.178533615669657,0.0049629433562731595,1.53851244044467,0.9528851244044401,0.0,0.0,0.45162784542085,0.06120963472736,0.15550555849654998
Tây Phương,10003,4.12814309801334,29.282310681035117,53.75940180338685,10.90066710651711,0.0029323363389780806,1.3133934462282801,0.05806025951176,0.0,0.0,0.53984312000586,0.002345869071182465,0.0129022798915
Tây Tựu,613,1.05162757709897,44.9839810217907,2.08124434444471,41.27515957837071,0.0,10.1445376507129,0.15896695932891,0.0,0.0,0.30448286825306997,0.0,0.0
Tùng Thiện,9604,10.26086560208738,20.458209660971562,22.012351094678433,30.836718300471137,0.01253339865892,6.92156940939207,0.48025704861248997,0.005127299451378959,0.0,8.96622249061419,0.0008545499085631597,0.04529114515384
