region,quarter,grace_trend,vci_severe_pct
Central Highlands,2014Q4,-0.7763144385247973,21.979276870048555
Central Highlands,2015Q1,-1.032645823823611,32.45169570693856
Central Highlands,2015Q2,-2.4612322216323936,28.96694390824984
Central Highlands,2015Q3,-2.704505870339217,20.70395567741909
Central Highlands,2015Q4,-3.7717582761007225,20.487156512792033
Central Highlands,2016Q1,-5.55095847334944,42.87641712673126
Central Highlands,2016Q2,-5.161349206697678,47.14934208566344
Central Highlands,2016Q3,-3.942144833574865,12.726050395535886
Central Highlands,2016Q4,-2.7641118363332216,14.840142063705152
Central Highlands,2017Q1,-3.3263685056687646,11.986471985610835
Central Highlands,2017Q2,-2.9845452058700426,12.13340314041778
Central Highlands,2017Q3,,12.412065448033545
Central Highlands,2017Q4,,11.73418111529088
Central Highlands,2018Q1,,14.255959114882252
Central Highlands,2018Q2,,21.77340557449568
Central Highlands,2018Q3,2.2073171307390114,25.692414136329703
Central Highlands,2018Q4,1.549466618353692,21.004894239161523
Central Highlands,2019Q1,0.6152609937496726,21.087252508233924
Central Highlands,2019Q2,0.4546320843939497,15.759018487904315
Central Highlands,2019Q3,-0.1065876371632374,19.227065580936017
Central Highlands,2019Q4,-1.3439440914188163,19.63812344864137
Central Highlands,2020Q1,-2.6314845512970733,33.82221755192394
Central Highlands,2020Q2,-3.3316522249162137,43.01911440557476
Central Highlands,2020Q3,-2.8027479345864346,25.017412851430823
Central Highlands,2020Q4,-1.5930128744004857,26.45366565109357
Central Highlands,2021Q1,0.1295619787259033,29.01383935688724
Central Highlands,2021Q2,1.0348433955394023,20.120235729670753
Central Highlands,2021Q3,1.7719677107770615,20.238766214977357
Central Highlands,2021Q4,3.5212075955562097,13.00118590470689
Central Highlands,2022Q1,6.241582208584878,5.784214833234042
Central Highlands,2022Q2,7.815111609455944,9.511063707378794
Central Highlands,2022Q3,8.344528667506156,20.471199547173185
Central Highlands,2022Q4,7.740431062789397,18.974573488949567
Central Highlands,2023Q1,6.593295218278349,16.291959070700283
Central Highlands,2023Q2,6.037652987180078,11.489031195372368
Central Highlands,2023Q3,5.2561012250390045,12.48326149394026
Central Highlands,2023Q4,3.855686186339262,12.770617481854616
Central Highlands,2024Q1,2.235755884115646,23.4983209043997
Central Highlands,2024Q2,1.73916605249793,34.388783250994756
Central Highlands,2024Q3,1.708786890927189,25.44557390194752
Central Highlands,2024Q4,3.3402835553213936,19.127894469992533
Central Highlands,2025Q1,5.774509495857825,
Central Highlands,2025Q2,7.156793061968657,
Central Highlands,2025Q3,8.649807364051988,
Central Highlands,2025Q4,9.994009763740763,
Mekong Delta,2000Q1,,28.896893349912744
Mekong Delta,2000Q2,,24.46032948948012
Mekong Delta,2000Q3,,43.39389826663987
Mekong Delta,2000Q4,,43.84007656578728
Mekong Delta,2001Q1,,37.01989662453517
Mekong Delta,2001Q2,,26.375662425237504
Mekong Delta,2001Q3,,40.341785655604816
Mekong Delta,2001Q4,,50.964948517592745
