shapeID,shapeName,class_-3_months_SPEI3,class_-2_months_SPEI3,class_-1_months_SPEI3,class_0_months_SPEI3,class_1_months_SPEI3,class_2_months_SPEI3,class_3_months_SPEI3,class_-3_months_SPEI6,class_-2_months_SPEI6,class_-1_months_SPEI6,class_0_months_SPEI6,class_1_months_SPEI6,class_2_months_SPEI6,class_3_months_SPEI6,class_-3_months_SPEI12,class_-2_months_SPEI12,class_-1_months_SPEI12,class_0_months_SPEI12,class_1_months_SPEI12,class_2_months_SPEI12,class_3_months_SPEI12,drought_resistance,ag_area_ha,geometry
10106042,Phường Phúc Lợi,14.0,23.0,42.0,265.0,42.0,30.0,15.0,12.0,26.0,33.0,278.0,45.0,23.0,14.0,8.0,16.0,40.0,284.0,61.0,16.0,6.0,0.3195036440994428,57.56380469668244,"POLYGON ((105.89437951726862 21.04567278879039, 105.90048409882175 21.050323592502398, 105.91510541193952 21.040023079323362, 105.91653235542326 21.042386412933002, 105.91215350785104 21.05419851335342, 105.93323173903302 21.05551841037193, 105.93893044448414 21.039960614898213, 105.92698447856637 21.02568262293406, 105.89879854845978 21.037360972473174, 105.89437951726862 21.04567278879039))"
10107006,Phường Hai Bà Trưng,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.293266206072163,0.0,"POLYGON ((105.84143220166379 21.02065270357304, 105.8588538791632 21.019096482881, 105.86203772735075 21.009027813881413, 105.84161057725515 21.007761442655713, 105.84143220166379 21.02065270357304))"
10107007,Phường Vĩnh Tuy,19.0,28.0,59.0,294.0,56.0,46.0,18.0,16.0,33.0,51.0,306.0,67.0,33.0,16.0,13.0,22.0,58.0,310.0,83.0,28.0,7.0,0.2934567590946724,0.0,"POLYGON ((105.85866213679314 20.995293851642586, 105.86263966659358 20.992827965803155, 105.86104334016652 21.009348902109046, 105.86528390346443 21.008515102633872, 105.87185662178884 21.012394459985607, 105.87465690490887 21.006347951281665, 105.8829062944134 21.002334705453674, 105.88016843534822 20.997211249417937, 105.87669027488197 20.997411902725286, 105.87752416726092 20.99418800394132, 105.8720438974209 20.99289037192764, 105.86804412490284 20.985706738663588, 105.86302315970602 20.989363259108472, 105.85897878061489 20.987485918810645, 105.85866213679314 20.995293851642586))"
10107008,Phường Bạch Mai,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.2981986856484298,0.0,"POLYGON ((105.84117355288814 20.991904922109118, 105.84161057725515 21.007761442655713, 105.86074013286868 21.009036792839122, 105.86263966659358 20.992827965803155, 105.86078466417192 20.99575757446985, 105.85803790025105 20.993229273828206, 105.85212509414396 20.99396497760673, 105.85211622413394 20.997380698180823, 105.84866035736471 20.99925348832309, 105.84117355288814 20.991904922109118))"
10108015,Phường Lĩnh Nam,19.0,28.0,59.0,294.0,56.0,46.0,18.0,16.0,33.0,51.0,306.0,67.0,33.0,16.0,13.0,22.0,58.0,310.0,83.0,28.0,7.0,0.3267197803483898,123.07346990678164,"POLYGON ((105.87033163162951 20.981595476774597, 105.87294909549792 20.98463659485363, 105.87885745294109 20.98230449841526, 105.8820501546995 20.988489231951984, 105.88908658497256 20.986562867525844, 105.89503058073903 20.99069204977169, 105.89549434721543 20.987209510341824, 105.9088760486532 20.984908593115428, 105.90365897540877 20.970140025730824, 105.89332276495901 20.955554310215692, 105.88460075287396 20.963580666450643, 105.87991869383573 20.960642146675994, 105.87634698757687 20.965025411048863, 105.87511623024926 20.978095033418064, 105.87033163162951 20.981595476774597))"
10108016,Phường Hoàng Mai,19.0,28.0,59.0,294.0,56.0,46.0,18.0,16.0,33.0,51.0,306.0,67.0,33.0,16.0,13.0,22.0,58.0,310.0,83.0,28.0,7.0,0.3287392113858445,79.35980653416307,"POLYGON ((105.83806110550331 20.979967869275598, 105.83840889142762 20.98420406611444, 105.84113341622412 20.985189538732204, 105.84103531436503 20.97654332557455, 105.84744752209176 20.987552812361333, 105.85402023949987 20.979999120101265, 105.85744036618468 20.982438222023713, 105.85979924362948 20.978804039490925, 105.86756698583562 20.97982072286949, 105.87000161747171 20.982634404532675, 105.87003728012138 20.979985771962593, 105.8752767166014 20.977774049457885, 105.87768913609852 20.968962869995867, 105.8757672268401 20.966559344287177, 105.87991869383573 20.960642146675994, 105.88460075287396 20.963580666450643, 105.89332276495901 20.955554310215692, 105.88691498722919 20.947144469860437, 105.87374730785378 20.95592891173159, 105.8717852958068 20.953021567297174, 105.86939078368587 20.954608950187094, 105.8663318061378 20.95120671130421, 105.86319259582062 20.951902311009597, 105.85829200288661 20.960263120885458, 105.85204042588926 20.957360208981196, 105.84812082074293 20.962086896268843, 105.84919102567426 20.96565867056611, 105.84083463126056 20.97072419327001, 105.83806110550331 20.979967869275598))"
10108017,Phường Vĩnh Hưng,19.0,28.0,59.0,294.0,56.0,46.0,18.0,16.0,33.0,51.0,306.0,67.0,33.0,16.0,13.0,22.0,58.0,310.0,83.0,28.0,7.0,0.2990809064989942,1.709292262268067,"POLYGON ((105.8679816711407 20.985653260301824, 105.8720438974209 20.99289037192764, 105.87752416726092 20.99418800394132, 105.87669027488197 20.997411902725286, 105.88016843534822 20.997211249417937, 105.8829062944134 21.002334705453674, 105.89246209692759 20.999891160966886, 105.90805115856121 20.9864023397434, 105.89549434721543 20.987209510341824, 105.89503058073903 20.99069204977169, 105.88908658497256 20.986562867525844, 105.8820501546995 20.988489231951984, 105.87885745294109 20.98230449841526, 105.87294909549792 20.98463659485363, 105.87033163162951 20.981595476774597, 105.8679816711407 20.985653260301824))"
10108018,Phường Tương Mai,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.3247658414144837,0.0,"POLYGON ((105.84103531436503 20.97654332557455, 105.84117355288814 20.991904922109118, 105.84866035736471 20.99925348832309, 105.85113514997323 20.998713989789888, 105.85212509414396 20.99396497760673, 105.85880038840469 20.992636220684236, 105.85897878061489 20.987485918810645, 105.86302315970602 20.989363259108472, 105.87000161747171 20.982634404532675, 105.86756698583562 20.97982072286949, 105.85979924362948 20.978804039490925, 105.85744036618468 20.982438222023713, 105.85402023949987 20.979999120101265, 105.84744752209176 20.987552812361333, 105.84103531436503 20.97654332557455))"
10108019,Phường Định Công,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.3136888911052059,0.0,"POLYGON ((105.80875141868432 20.980578751247076, 105.81564515913831 20.98271022954714, 105.81839201345664 20.980520782934846, 105.8188557686053 20.98440915647047, 105.82834029526344 20.995026274843703, 105.83496644859692 20.986491569714982, 105.83464984561257 20.982879724627164, 105.83840889142762 20.98420406611444, 105.8407677966753 20.971009590631905, 105.83225088326468 20.970073148134215, 105.82732808166817 20.965435722322066, 105.82804592051589 20.96793720515329, 105.82331484663793 20.968739913720885, 105.8245010079387 20.971673979154286, 105.81314360791835 20.970291640321225, 105.80878268040655 20.973997195189114, 105.80875141868432 20.980578751247076))"
10108021,Phường Yên Sở,17.0,18.0,42.0,269.0,35.0,33.0,17.0,12.0,23.0,35.0,278.0,44.0,25.0,14.0,11.0,11.0,42.0,272.0,65.0,26.0,4.0,0.3082502455662115,19.42306550669029,"POLYGON ((105.84343430047336 20.954515366737102, 105.85829200288661 20.960263120885458, 105.86018712131103 20.95422101886714, 105.8663318061378 20.95120671130421, 105.86392831410694 20.945387541432122, 105.86624704183522 20.943314070485076, 105.8651724381504 20.937668894959014, 105.86014707013969 20.93791411638255, 105.860539428546 20.935260943214985, 105.84713985721874 20.93192550857228, 105.84397830312348 20.939291952545, 105.84788895128489 20.941976378640287, 105.84795139832764 20.94580672924611, 105.84343430047336 20.954515366737102))"
